id,text,text_for_vec,text_length
ef6c2612a09c3443e14d62378da20433,"ใดล่อง 4กล่อง 690,- 1,790.- 8ดล่อง 3,290. 5,690. จัดส่งฟรี 061-0246539","ใดล่อง 4กล่อง 690,- 1,790.- 8ดล่อง 3,290. 5,690. จัดส่งฟรี 061-0246539",70
afac06f70a13d21432e75b219821fae3,"2แถม2 3แถม4 6แถม8 380.- 990,","2แถม2 3แถม4 6แถม8 380.- 990,",28
f4af3ee5d37819a8c8f7d74702028906,ประกันภัยเดินทาง dinsure ดูแลให้ทังครอบครัว 24 ขัวโมง,ประกันภัยเดินทาง dinsure ดูแลให้ทังครอบครัว 24 ขัวโมง,53
67966bbd8dd1280a5339297eb66ff578,อัยัสเตรเลีย 10 sat อย่าเพิ่งไปเรียน,อัยัสเตรเลีย 10 sat อย่าเพิ่งไปเรียน,36
0a87297777b8d678bd92f59223a63fbd,"9 แอปคนไช้รถ ev ""ต้องมีติดเครื่อง"" pea","9 แอปคนไช้รถ ev ""ต้องมีติดเครื่อง"" pea",38
13c58c0988e827711cb2cadef5c9bcf8,การสร้างและบริหารร้านกาแฟ ลด 60 ครังแรกบน steam,การสร้างและบริหารร้านกาแฟ ลด 60 ครังแรกบน steam,47
dc29ae1df7d41fdb28f885e27721c12a,"8,290.","8,290.",6
452308a7a5c72ea80d925836f54fa7ec,,empty_record,0
bb8d5d0979f56e72fe9d13610f1e61c1,swiss 134999,swiss 134999,12
82b6d96bddd628e5edc45bc8271c8c27,,empty_record,0
c679f77bddb05ec600720087fad3acfa,exclusie tourist privilege bolt,exclusie tourist privilege bolt,31
23c35d5883671ab9ec142df15512f088,41 b910.29 helldiers 2 เกม co op คน ตะลุยฝงแมลงเอเลียน ลดเหลือ 910.29 บาท steam,41 b910.29 helldiers 2 เกม co op คน ตะลุยฝงแมลงเอเลียน ลดเหลือ 910.29 บาท steam,79
bea7a10a19b275fa38c6f703e9d160b7,500,500,3
