Image,Words
Ebay_Product_6.jpeg,"['ไส', 'ศิ', 'คิรี', 'ตต', 'ตะ']"
Ebay_Product_7.jpeg,"['ิา', 'แง', 'ไบอๆ้งผดแ', 'แอ', 'เห', 'ทวธทนรลบธิ', 'อห', 'อลงอ', 'เต', 'ล่อ']"
Ebay_Product_8.jpeg,"['ฯณผู', 'ซิ', 'เผา']"
Ebay_Product_9.jpeg,"['๑๒', 'เต', 'รคทร็ว', 'เท', 'เลก', 'เท', 'ซี', 'ลรยรัป', 'หลา', '๑๐๐๐๑']"
Facebook_Food_1.jpeg,"['กเภก', 'ภา', 'ร์ปพบงลย', 'ไส']"
Facebook_Food_10.jpeg,"['ญด', 'จรก', 'นอ', '๒๐', 'งพ', 'หวล', 'สัสต', '๒๓', 'จร', 'าย', 'กาม', 'แยว', 'ติ', 'วัช', 'มส']"
Facebook_Food_100.jpeg,"['อลอ', 'มนส์', 'แป', 'ขบวน', 'ขนม', 'แบรนด์', 'ทล', '๐๒', 'หทลทสตรบผ่อยท์', 'ธจธ', 'เผร์จ', 'ซื้อ', 'สินค้า', 'รธาย']"
Facebook_Food_101.jpeg,"['ม่ม', 'เพ', 'พะ', 'เห', 'ลผกสงแมลท', 'เซ', 'ดท', 'อู', 'ศา', 'เก', '๕๒', 'เร', '๕๕๒', 'ลรถอทอ', 'ทอ', 'นก', 'โฉ', 'รัก', 'จถ', '๕๒', 'เปห', 'เอ', 'นอ', '๒๕', 'กยโฝะ', 'ระ', 'ะรสจงแ']"
Facebook_Food_102.jpeg,"['อสิ', 'งค', 'รังแรก', 'ลด', 'ฟรี', 'รม', '่อ', 'สั่ง', 'ดํา', 'เงื่อน', 'โห', 'เป็นไป', 'บริษัท', 'ทําหนต']"
Facebook_Food_103.jpeg,"['๊ล', '๒๐', 'ส่ป', 'ไอ', 'อลอ', 'โปร', 'เด็ด', 'จา', 'กร้าน', 'บอ', 'เริม', 'ใส่', 'โค้ด', 'ลด', 'มีนาคม', 'มีนาคม', 'เจพาะธ้าน', 'ค้า', 'สาย', 'เงื่อนไข', 'เป็นไป', 'บริษัท', 'คําหนต']"
Facebook_Food_104.jpeg,"['เต', 'รยมพบทบล', 'งบ', 'ระ', 'ตร', 'จุ', 'จุ', 'แผ', 'เห', 'ลผเ', 'เอ', 'กง', 'งวัล', 'ณะ', 'แบ', 'ระ', 'เจ', 'ไจ้', 'ร้าน', 'อร่อย', 'รีวิว', 'ดี', 'กะ', 'แร']"
Facebook_Food_105.jpeg,"['แพ', 'ธะหลมง', 'ภินท', 'ยอ', 'ทท', 'อธร', 'เฉ', 'นลบผฯเธิ้น', 'ตา', 'อ้นน์', 'โท', 'ต์พรกทสนซ่สช่', 'โชก', 'เกน', 'ท์ถัจคตเอพาะ', 'สินค้า', 'เสะ', 'สาขา', 'รัว', 'รา', 'สทฐิทธิ์ีจํานวนจํา', 'ทัต']"
Facebook_Food_106.jpeg,"['ข้อ', 'ขอม', 'บัทษ์ซ์', 'รับคืน', 'เจะล', 'เฮ', 'พอล', 'ศลลถึบ', 'ซา']"
