Image,Words,CTA
Facebook_Product_260.jpeg,"['สนใจ', 'คลิก', 'ศิร', 'ๆจ', 'งว', 'ผ่อน', 'เดือน', 'เร', 'มต', 'ฟรี', 'ประกันภัย', 'ชั้น', 'ปี', 'เงื่อนไข', 'เป็นไป', 'ริ', 'ษักฯกําหนต', 'ตู', 'รายละเอียด', 'เติน', 'เว็บไซต์', 'เอ็บ', 'ตับ', 'เบิล', 'ซู', 'ภาพประกอบ', 'เฟื่อ', 'โฆษณา', 'อุป', 'ภรณ์', 'อ๊อป', 'ชัน', 'รุ่น', 'กี่', 'ขาย']",1
Facebook_Product_269.jpeg,"['เห', '๐๐', 'รธห', 'อา', 'ธย', 'เม', 'วจี', 'จอง', 'วอน', 'เต็ม', 'เฮ', 'หฟัรวม', 'อาหารเช้า', 'แบ', 'บเอ', 'เต่อ', 'ดสค', 'อู', 'รอ', 'หอ', 'เพ', 'ทาร', 'ทอ', 'ทท', 'ทาร', 'ออ', 'ธตรหญ่']",1
Facebook_Product_271.jpeg,"['ลอง', 'เรอ', 'ยอ', 'เจ้ะ', 'ยา', 'เจา', 'ติ', 'นเนอร์', 'หรู', 'ชม', 'วิว', 'ยาม', 'คําคินวทก', 'เร', 'รอ', 'ณะง', 'เตอร์', 'ฟู', 'เอ', 'รจหวห', 'จอง', 'จ่าย', 'สะดวก', 'บุฟเฟ่ต์', 'เต็ม', 'ไท', 'สลงทย']",1
Facebook_Product_284.jpeg,"['บคล', 'บาท', 'นา', 'ตฑท', 'งผลธบคลร', 'โบ', 'เอม', 'ฑท', 'อม', 'ธบอ', 'แอว', 'ห้อง', 'แห', 'ห้อง', 'ถ่าย', 'ภาพนิ่ง', 'งาน', 'วีดีโอ', 'ฉาก', 'ขาว', 'พื้น', 'โค้ง', 'ไร้', 'รอยต่อ', 'พรือม', 'ห้องประชุม', 'ห้องแต่งตัว', 'ห้อง', 'น้า', 'ตัว', 'สตู', 'ติ', 'โอ', 'ฉาก', 'ขาว', 'พื้น', 'โค๊้ง', 'เฑพร้อบฉาท', 'ผ้าพื้น', 'โต้ง', 'ว้าง', 'กก', 'ระ', 'ดาษ', 'ทร', 'ว้าง', 'เม', 'สร', 'สีต', 'ํา', 'สีเหลือง', 'ให้บริการ', 'ผี', 'เศษ', 'จอง', 'เส็ม', 'นน', 'กรวม', 'ชุด', 'ไฟ', 'ตุ', 'ดิ', 'ไอ', 'ฟหว', 'ชั่วโมง', 'รา', 'คาว', 'โบ', 'บาท', 'ไฟ', 'ล่อ', 'เนื่อง', 'บิ', 'แสง', 'ขาว', 'หัว', 'สา', 'บา', 'รถเช่า', 'ช่วงเวลา', 'าก', 'ทัด', 'จํานวนคน', 'ที่มา', 'ใช้งาน', 'ศฑญู', 'ค่าใช้จ่าย', 'กา', 'รน', 'ํา', 'อุปกรณ์', 'ไฟ', 'ค่าใช้จ่าย', 'ทา', 'รน', 'ํา', 'สัตว์', 'เสี้ยง', 'เข้ามา', 'ถ่า', 'ยา', 'เช่า', 'คช', 'จฉ', 'อุก', 'จิก', 'ที่จอดรถ', 'ขน', 'ท่า', 'อุป', 'ทรณ์', 'สะดวกสบาย']",1
Facebook_Product_34.jpeg,"['รับสมัคร', 'รอบ', 'หลักสูตร', 'วิทยาการ', 'คอมพิวเตอร์', 'ระบบ', 'สารสนเทศ', 'สาขา', 'ขิญญา', 'ระบบ', 'อ๊จ', 'นิ', 'ริ', 'ฮะ', 'ภน', 'สาย', 'คระ', 'อัต', 'ภาร', 'ระบบ', 'สาร', 'สม', 'เทศ', 'เรียน', 'เสา', 'อา', 'กิย์', 'ขอบ', 'ตรร', 'สาย', 'รับสมัคร', 'เมษายน', 'แซง', 'สอบถาม', 'เพ', 'เติม', 'ณะส', 'ลิ', 'ติ', 'ประ', 'ยุคต์', 'ถา', 'นัน', 'บัณฑิต', 'พัฒน', 'บริหาร', 'ศาสตร์', 'ด้ากณ์']",1
Facebook_Product_37.jpeg,"['บควดง', 'เจ', 'งน่', 'สร้าง', 'รายได้', 'เสริม', 'บ้าน', 'การสอน', 'โค๊ด', 'สมัคร']",1
Facebook_Product_387.jpeg,"['๒๑', 'เต', 'สส่ต', 'โร', 'เจ', 'โอ', 'อร', 'ธธผดวฮูง', 'จัน', 'เค', 'ปอง', 'ลด', 'เพิ่น', 'ยอ', 'สั่งซื้อ', 'คับ', 'ฟรี', 'เบพลฒฆยจก', 'ดู', 'ปอง', 'งยง', 'แกน', 'จํานวนจํา', 'กัด', 'เฮพาะ', 'สินค้า', 'ร่ว', 'บรา', 'ยอ', 'ดุก', 'ซิ', 'หัก', 'สด', 'จอง', 'แกน', 'สู', 'กค', 'รัน', 'ข้อความ', 'ขืน', 'บัน', 'คาง', 'ไห้', 'สทรร', 'นอง', 'เก', 'ภาพ', 'นือนให', 'เป็นไป', 'ริ', 'นัททําหนต', 'ปี', 'ซ้อ', 'แล']",1
Facebook_Product_39.jpeg,"['ช้ยนห', 'ไจ', 'เท', 'ใส', 'คอ', 'รส', 'บาท', 'เบ', 'เชอ', 'รส', 'อน', '๒๐๕', 'ฝ่า', 'อทบบ', 'ฟื้น', 'ฐาน', 'โพล', 'หอ', 'ธทธ์', 'เท', 'ธหทษิล', 'ธิทส', 'บิ', 'อง', 'ไห่', 'ลทลธ', 'ทา', 'ธท', 'สมัคร', 'คน', 'สมัคร', 'แล้', 'วจะ', 'เรียน', 'ชั่วโมง', 'เวลา', 'ชํา', 'ระ', 'เงิน']",1
Facebook_Product_40.jpeg,"['เท', 'รนต์', 'วัต', 'ทร', 'รม', 'ทาร', 'ตลาด', 'ดิจิทัล', 'แป', 'ลี่', 'ยน', 'มุมมอง', 'ยกระดับ', 'ทล', 'ยุทธ์', 'อนาคต', 'วิสัย', 'ทัศะด', 'ตับ', 'แนญเน', 'บ้า', 'ธุร', 'ทิจ', 'คุ', 'เปสไฬิน', 'ลงทะเบียน', 'ฟรี']",1
Facebook_Product_403.jpeg,"['แขน', 'คธ', 'เม', 'ยจรค', 'พี', 'เศษ', 'ติ้งพิล์บ', '๑๓', 'ติดตั้ง', 'ฟิล์ก', 'รา', 'โน', 'เกท', 'ฮะ', '๐๐', 'วอก', 'เวิผพ', 'เศษ', 'ทุ', 'กรุ่น', 'ผูล', 'ค่า', 'ปู', 'ค่า', 'จอง', 'ไค้', 'มษาขน', 'เงื่อน', 'ไห', 'โป', 'ดาม', 'บริษัท', 'กํา']",1
